state,year,disposable_income_per_capita
Iowa,2019,47004
Kansas,2019,48915
Kentucky,2019,41887
Louisiana,2019,45853
Maine,2019,43684
Maryland,2019,56575
Massachusetts,2019,61591
Michigan,2019,44737
Minnesota,2019,51925
Mississippi,2019,38016
Missouri,2019,44737
Montana,2019,47004
Nebraska,2019,50719
Nevada,2019,46212
New Hampshire,2019,56575
New Jersey,2019,58242
New Mexico,2019,41447
New York,2019,55535
North Carolina,2019,44737
North Dakota,2019,56575
Ohio,2019,46212
Oklahoma,2019,48915
Oregon,2019,45620
Pennsylvania,2019,51514
Rhode Island,2019,49980
South Carolina,2019,42042
South Dakota,2019,50719
Tennessee,2019,45620
Texas,2019,51764
Utah,2019,43977
Vermont,2019,45620
Virginia,2019,53463
Washington,2019,58242
West Virginia,2019,38016
Wisconsin,2019,47720
Wyoming,2019,53086
Alabama,2020,41842
Alaska,2020,57377
Arizona,2020,46948
Arkansas,2020,42988
California,2020,60040
Colorado,2020,56985
Connecticut,2020,65270
Delaware,2020,48993
District of Columbia,2020,76361
Florida,2020,52377
Georgia,2020,47004
Hawaii,2020,52377
Idaho,2020,48150
Illinois,2020,56575
Indiana,2020,47004
Iowa,2020,50509
Kansas,2020,52377
Kentucky,2020,45329
Louisiana,2020,48671
Maine,2020,46212
Maryland,2020,60040
Massachusetts,2020,64426
Michigan,2020,48671
Minnesota,2020,56575
Mississippi,2020,41927
Missouri,2020,47191
Montana,2020,50944
Nebraska,2020,54728
Nevada,2020,47004
New Hampshire,2020,57087
New Jersey,2020,60040
New Mexico,2020,44737
New York,2020,58242
North Carolina,2020,47004
North Dakota,2020,57698
Ohio,2020,47720
Oklahoma,2020,50263
Oregon,2020,47720
Pennsylvania,2020,53463
Rhode Island,2020,53664
South Carolina,2020,44199
South Dakota,2020,53086
Tennessee,2020,45329
Texas,2020,54461
Utah,2020,46212
Vermont,2020,47720
Virginia,2020,55794
Washington,2020,60591
West Virginia,2020,38803
Wisconsin,2020,50091
Wyoming,2020,53664
Alabama,2021,45901
Alaska,2021,60591
Arizona,2021,50979
Arkansas,2021,48181
California,2021,64674
Colorado,2021,62446
Connecticut,2021,68888
Delaware,2021,52300
District of Columbia,2021,82374
Florida,2021,56575
Georgia,2021,50719
Hawaii,2021,56575
Idaho,2021,50719
Illinois,2021,60040
Indiana,2021,50509
Iowa,2021,54461
Kansas,2021,56575
Kentucky,2021,48915
Louisiana,2021,53664
Maine,2021,48915
Maryland,2021,64426
Massachusetts,2021,68888
Michigan,2021,51514
Minnesota,2021,60040
Mississippi,2021,45853
Missouri,2021,50719
Montana,2021,54899
Nebraska,2021,58242
Nevada,2021,51764
New Hampshire,2021,60591
New Jersey,2021,64426
New Mexico,2021,48150
New York,2021,61591
North Carolina,2021,50719
North Dakota,2021,60341
Ohio,2021,51925
Oklahoma,2021,53970
Oregon,2021,51276
Pennsylvania,2021,56979
Rhode Island,2021,56979
South Carolina,2021,48671
South Dakota,2021,57087
Tennessee,2021,48915
Texas,2021,58242
Utah,2021,50719
Vermont,2021,50509
Virginia,2021,58242
