state,year,expected_years_of_schooling
Maryland,2005,16.44
Massachusetts,2005,16.53
Michigan,2005,15.86
Minnesota,2005,16.22
Mississippi,2005,14.81
Missouri,2005,15.79
Montana,2005,16.42
Nebraska,2005,16.08
Nevada,2005,16.08
New Hampshire,2005,16.71
New Jersey,2005,16.32
New Mexico,2005,16.04
New York,2005,16.01
North Carolina,2005,15.55
North Dakota,2005,15.92
Ohio,2005,15.58
Oklahoma,2005,15.34
Oregon,2005,16.13
Pennsylvania,2005,15.83
Rhode Island,2005,16.27
South Carolina,2005,15.24
South Dakota,2005,15.87
Tennessee,2005,15.4
Texas,2005,15.36
Utah,2005,16.37
Vermont,2005,16.51
Virginia,2005,16.11
Washington,2005,16.47
West Virginia,2005,14.93
Wisconsin,2005,15.77
Wyoming,2005,16.01
Alabama,2006,15.65
Alaska,2006,16.67
Arizona,2006,16.06
Arkansas,2006,15.56
California,2006,15.86
Colorado,2006,16.86
Connecticut,2006,16.74
Delaware,2006,16.3
District of Columbia,2006,16.51
Florida,2006,15.84
Georgia,2006,15.21
Hawaii,2006,16.01
Idaho,2006,15.83
Illinois,2006,16.16
Indiana,2006,15.63
Iowa,2006,15.8
Kansas,2006,16.19
Kentucky,2006,15.05
Louisiana,2006,15.08
Maine,2006,16.22
Maryland,2006,16.5
Massachusetts,2006,16.59
Michigan,2006,15.93
Minnesota,2006,16.28
Mississippi,2006,14.88
Missouri,2006,15.85
Montana,2006,16.48
Nebraska,2006,16.14
Nevada,2006,16.15
New Hampshire,2006,16.78
New Jersey,2006,16.38
New Mexico,2006,16.11
New York,2006,16.07
North Carolina,2006,15.61
North Dakota,2006,15.98
Ohio,2006,15.64
Oklahoma,2006,15.4
Oregon,2006,16.19
Pennsylvania,2006,15.89
Rhode Island,2006,16.33
South Carolina,2006,15.31
South Dakota,2006,15.93
Tennessee,2006,15.46
Texas,2006,15.43
Utah,2006,16.43
Vermont,2006,16.57
Virginia,2006,16.17
Washington,2006,16.53
West Virginia,2006,15
Wisconsin,2006,15.83
Wyoming,2006,16.08
Alabama,2007,15.71
Alaska,2007,16.72
Arizona,2007,16.12
Arkansas,2007,15.63
California,2007,15.9
Colorado,2007,16.93
Connecticut,2007,16.8
Delaware,2007,16.35
District of Columbia,2007,16.57
Florida,2007,15.9
Georgia,2007,15.27
Hawaii,2007,16.06
Idaho,2007,15.89
Illinois,2007,16.23
Indiana,2007,15.7
Iowa,2007,15.86
Kansas,2007,16.26
Kentucky,2007,15.12
Louisiana,2007,15.14
Maine,2007,16.28
Maryland,2007,16.56
Massachusetts,2007,16.65
Michigan,2007,15.99
Minnesota,2007,16.34
Mississippi,2007,14.95
Missouri,2007,15.92
Montana,2007,16.54
Nebraska,2007,16.2
Nevada,2007,16.21
New Hampshire,2007,16.84
New Jersey,2007,16.44
New Mexico,2007,16.17
New York,2007,16.14
North Carolina,2007,15.68
North Dakota,2007,16.04
Ohio,2007,15.71
Oklahoma,2007,15.47
Oregon,2007,16.26
Pennsylvania,2007,15.96
Rhode Island,2007,16.39
South Carolina,2007,15.37
South Dakota,2007,15.99
Tennessee,2007,15.53
Texas,2007,15.49
Utah,2007,16.49
Vermont,2007,16.63
Virginia,2007,16.24
Washington,2007,16.6
West Virginia,2007,15.07
Wisconsin,2007,15.9
Wyoming,2007,16.14
Alabama,2008,15.78
Alaska,2008,16.78
Arizona,2008,16.18
Arkansas,2008,15.7
California,2008,15.94
Colorado,2008,16.99
Connecticut,2008,16.86
Delaware,2008,16.41
District of Columbia,2008,16.63
Florida,2008,15.96
Georgia,2008,15.34
Hawaii,2008,16.12
Idaho,2008,15.95
Illinois,2008,16.29
Indiana,2008,15.77
Iowa,2008,15.93
Kansas,2008,16.33
Kentucky,2008,15.19
Louisiana,2008,15.21
Maine,2008,16.34
Maryland,2008,16.62
Massachusetts,2008,16.72
Michigan,2008,16.06
Minnesota,2008,16.41
Mississippi,2008,15.02
Missouri,2008,15.99
Montana,2008,16.61
Nebraska,2008,16.27
Nevada,2008,16.28
New Hampshire,2008,16.9
New Jersey,2008,16.51
New Mexico,2008,16.24
New York,2008,16.21
North Carolina,2008,15.75
North Dakota,2008,16.11
Ohio,2008,15.78
Oklahoma,2008,15.54
Oregon,2008,16.32
Pennsylvania,2008,16.03
Rhode Island,2008,16.46
South Carolina,2008,15.44
South Dakota,2008,16.06
Tennessee,2008,15.6
Texas,2008,15.56
Utah,2008,16.56
Vermont,2008,16.7
Virginia,2008,16.31
Washington,2008,16.67
West Virginia,2008,15.14
Wisconsin,2008,15.97
Wyoming,2008,16.21
Alabama,2009,15.84
