state,year,gdp
Alabama,2014,206070
Alaska,2014,53303.3
Arizona,2014,301721.2
Arkansas,2014,121409.4
California,2014,2420365.1
Colorado,2014,321453.7
Connecticut,2014,269400.1
Delaware,2014,75234.3
District of Columbia,2014,131580.4
Florida,2014,957482.7
Georgia,2014,524675.2
Hawaii,2014,83151.7
Idaho,2014,68336.1
Illinois,2014,792033.4
Indiana,2014,334812.2
Iowa,2014,171690.6
Kansas,2014,160759.4
Kentucky,2014,198089.4
Louisiana,2014,243575.4
Maine,2014,61830.6
Maryland,2014,380121.7
Massachusetts,2014,505494.6
Michigan,2014,482062.8
Minnesota,2014,338240.2
Mississippi,2014,109311.2
Missouri,2014,319208.9
Montana,2014,47582
Nebraska,2014,113693.3
Nevada,2014,163013.8
New Hampshire,2014,79201.2
New Jersey,2014,589253.2
New Mexico,2014,88373.1
New York,2014,1577969.8
North Carolina,2014,533036
North Dakota,2014,55705.5
Ohio,2014,600170.8
Oklahoma,2014,179975.2
Oregon,2014,204099.3
Pennsylvania,2014,716913.8
Rhode Island,2014,59194.2
South Carolina,2014,204739.4
South Dakota,2014,48427.5
